3482210,422224,2273934,-202439
3679395,2737332,4104213,2980736
3173475,3948494,3494250,3554521
27235,3642190,-190885,3635525
3851721,1754784,3145586,2167751
327074,3250656,-190885,3635525
3499970,3186179,3494250,3554521
150736,2522778,-85806,2000000
3000768,3333983,2564067,3163630
1751302,1660540,3145586,2167751
2591068,2923079,2564067,3163630
48946,3999178,-190885,3635525
3695475,3863101,3494250,3554521
1504031,2760,2273934,-202439
3021186,2667125,3145586,2167751
1514629,3771171,2564067,3163630
234064,616106,-85806,2000000
3990843,3393575,4104213,2980736
768875,2665271,-85806,2000000
